GCF_000373945.1
GCF_049310205.1
GCA_900174585.1
GCF_025643335.1
GCA_025562715.2
GCA_015163815.1
GCF_032883915.1
GCF_027366555.1
GCF_049310145.1
GCA_000722635.1
GCA_039540975.1
GCA_026710285.1
GCF_002864045.1
GCF_040549005.1
GCA_028239315.1
GCA_028728195.1
GCF_031844845.1
GCA_025562755.1
GCA_026709165.1
GCF_023716865.1
GCA_031844845.2
GCF_947331445.1
GCF_024606265.1
GCF_025562755.1
GCF_017744135.1
GCA_051008435.1
GCF_049275945.1
GCA_030674875.1
GCF_001562015.1
GCA_049614625.1
GCF_040549065.1
GCA_001729985.1
GCF_010994325.1
GCF_031528575.1
GCF_050847435.1
GCF_965138125.1
GCF_049310265.1
GCA_040549045.1
GCA_017744155.1
GCF_000722635.1
GCF_052071395.1
GCF_023502345.1
GCF_051008435.1
GCF_018263925.1
GCF_001646945.1
GCF_039540975.1
GCA_027366555.1
GCA_023502345.1
GCF_004028165.1
GCA_017744135.1
GCF_009653635.1
GCF_010994335.1
GCF_024606345.1
GCA_049599355.1
GCF_001646955.1
GCF_000722565.1
GCF_965196975.1
GCA_000722565.1
GCF_017744155.1
GCA_040549065.1
GCA_030674915.1
GCF_049310245.1
GCF_001647025.1
GCF_024606245.1
GCF_024606225.1
GCF_024606365.1
GCF_947495845.1
GCF_001583435.1
GCF_040549035.1
GCA_023146365.1
GCA_009653635.1
GCA_051008495.1
GCF_027366395.1
GCA_000710775.1
GCA_023716865.1
GCF_900174585.1
GCF_024606275.1
GCA_004028165.1
GCF_025562715.2
GCF_049310185.1
GCF_000710775.1
GCA_027366395.1
GCA_001583435.1
GCF_040549045.1
GCA_965138125.1
GCF_023822025.1
GCA_040549035.1
GCA_050847435.1
GCF_049310225.1
GCA_052071395.1
GCF_965199795.1
GCF_049275935.1
GCF_049310285.1
GCF_024606325.1
GCA_026712775.1
GCA_015163765.1
GCF_049310125.1
GCF_024606255.1
GCA_032883915.1
GCA_040549005.1
GCF_049310165.1
